id;bulletin_year;bulletin_nr;office;search_type;mailed_date;publn_auth;publn_nr;publn_kind;publn_date;publn_lg
14815266;2015;23;"EP";"ISR";9999-12-31;"WO";"2015082405";"A1";2015-06-11;"de"
14833033;0;0;"EP";"SUP";2016-08-10;"  ";"";"  ";9999-12-31;"  "
80303345;1981;14;"EP";"NAT";9999-12-31;"EP";"0026634";"A1";1981-04-08;"en"
80400613;0;0;"EP";"SUP";1980-09-18;"  ";"";"  ";9999-12-31;"  "
81201381;0;0;"EP";"SUP";1984-05-21;"  ";"";"  ";9999-12-31;"  "
81201381;1984;30;"EP";"NAT";9999-12-31;"EP";"0054339";"A3";1984-07-25;"en"
88306880;0;0;"EP";"SUP";1988-10-18;"  ";"";"  ";9999-12-31;"  "
88306880;1988;49;"EP";"NAT";9999-12-31;"EP";"0294245";"A1";1988-12-07;"en"
15736846;2017;4;"EP";"ISR";9999-12-31;"WO";"2017012633";"A1";2017-01-26;"en"
15738725;2015;51;"EP";"ISR";9999-12-31;"WO";"2015193617";"A1";2015-12-23;"fr"
11833628;2012;17;"AU";"ISR";9999-12-31;"WO";"2012051656";"A1";2012-04-26;"en"
11838274;0;0;"EP";"SUP";2014-04-29;"  ";"";"  ";9999-12-31;"  "
15150790;0;0;"EP";"SUP";2015-10-20;"  ";"";"  ";9999-12-31;"  "
15150790;2016;28;"EP";"NAT";9999-12-31;"EP";"3043064";"A1";2016-07-13;"en"
15837149;2016;28;"EP";"ISR";9999-12-31;"WO";"2016111617";"A1";2016-07-14;"en"
15840025;2016;11;"CA";"ISR";9999-12-31;"WO";"2016037261";"A1";2016-03-17;"en"
12715643;2012;41;"EP";"ISR";9999-12-31;"WO";"2012136663";"A1";2012-10-11;"en"
12715894;2012;41;"EP";"ISR";9999-12-31;"WO";"2012136709";"A2";2012-10-11;"en"
14792845;2016;16;"EP";"ISR";9999-12-31;"WO";"2016059263";"A1";2016-04-21;"es"
14799766;2015;21;"EP";"ISR";9999-12-31;"WO";"2015075014";"A1";2015-05-28;"en"
5009197;0;0;"EP";"SUP";2005-08-22;"  ";"";"  ";9999-12-31;"  "
