id;appeal_date;appeal_nr;phase;date_state_grounds_filed;date_interloc_revision;result;result_date
88107261;1991-09-12;"T0072/92-3201";"examination";1991-11-27;9999-12-31;"REMITTAL FOR GRANT";1993-12-20
3711857;2017-05-09;"T0993/17-3204";"opposition";9999-12-31;9999-12-31;"";9999-12-31
4797442;2013-09-27;"T2049/13-3204";"opposition";2013-11-28;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2018-02-06
98950512;2005-03-08;"T0350/05-3204";"opposition";2005-04-26;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2007-03-19
9777267;2016-05-12;"";"opposition";2016-07-25;9999-12-31;"";9999-12-31
9777267;2016-05-13;"T1168/16-3204";"opposition";2016-07-07;9999-12-31;"";9999-12-31
4797442;2013-10-02;"T2049/13-3204";"opposition";2013-12-09;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2018-02-06
7121710;2010-07-26;"";"examination";2010-09-27;2010-10-13;"";9999-12-31
10839557;2018-01-12;"T0130/18-3204";"opposition";2018-03-22;9999-12-31;"";9999-12-31
96930563;2002-12-10;"T0366/03-3201";"examination";2003-02-28;9999-12-31;"APPEAL OF APPLICANT REJECTED";2006-04-05
97108061;2004-04-24;"T0546/04-3201";"opposition";2004-07-29;9999-12-31;"APPEAL OF OPPONENT REJECTED";2007-06-01
10009221;2017-02-14;"T0395/17-3403";"opposition";2017-04-24;9999-12-31;"";9999-12-31
11153557;2016-11-03;"T2463/16-3502";"opposition";2017-01-04;9999-12-31;"";9999-12-31
7861906;2017-11-13;"T2492/17-3204";"opposition";2018-01-12;9999-12-31;"";9999-12-31
7861906;2017-11-13;"T2492/17-3204";"opposition";2018-01-15;9999-12-31;"";9999-12-31
6254833;2014-09-15;"T1935/14-3309";"opposition";2014-11-20;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2017-09-29
7254063;2010-12-07;"";"examination";2011-02-28;2011-03-21;"";9999-12-31
9012887;2016-05-12;"T1169/16-3204";"opposition";2016-06-17;9999-12-31;"";9999-12-31
99302710;2007-05-30;"T0887/07-3205";"opposition";2007-08-29;9999-12-31;"MAINTENANCE IN AMENDED FORM";2009-04-23
90114610;1995-09-13;"T0919/95-322";"examination";1995-12-15;9999-12-31;"REMITTAL FOR GRANT";1997-01-16
12183310;2017-12-15;"T2765/17-3204";"opposition";2018-02-27;9999-12-31;"";9999-12-31
81730038;1986-04-24;"T0167/86-3201";"opposition";9999-12-31;9999-12-31;"MAINTENANCE IN AMENDED FORM";1987-11-05
7861906;2017-11-24;"T2492/17-3204";"opposition";2018-01-24;9999-12-31;"";9999-12-31
8715905;2014-01-07;"T0082/14-3502";"opposition";2014-04-08;9999-12-31;"";9999-12-31
13718133;2017-09-01;"T1939/17-3309";"opposition";2017-11-02;9999-12-31;"";9999-12-31
13718133;2017-09-04;"T1939/17-3309";"opposition";2017-10-30;9999-12-31;"";9999-12-31
12177267;2015-02-02;"T0758/15-3502";"examination";2015-03-31;9999-12-31;"APPLICATION DEEMED TO BE WITHDRAWN";2018-05-31
8784434;2016-09-08;"T2053/16-3204";"opposition";2016-11-21;9999-12-31;"";9999-12-31
9003468;2017-08-07;"T1765/17-3204";"opposition";2017-11-14;9999-12-31;"";9999-12-31
6713729;2015-02-24;"T0391/15-3305";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2015-03-25
99931022;2008-12-03;"T2285/08-3205";"opposition";2009-01-16;9999-12-31;"CONTINUATION OF OPPOSITION PROCEDURE";2011-04-15
95927720;2007-10-10;"T1763/07-3205";"opposition";2007-12-07;9999-12-31;"REVOCATION OF THE PATENT";2010-07-06
10163882;2018-04-25;"T1069/18-3204";"opposition";2018-06-15;9999-12-31;"";9999-12-31
10186469;2016-12-30;"T0045/17-3503";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2017-02-21
99948867;2008-02-19;"T0462/08-3204";"opposition";2008-05-28;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2010-02-11
6742458;2016-07-08;"";"opposition";2016-09-12;9999-12-31;"";9999-12-31
6742458;2016-07-11;"T1644/16-3204";"opposition";2016-09-16;9999-12-31;"";9999-12-31
96937172;2003-05-19;"T0584/03-3204";"opposition";2003-05-23;9999-12-31;"MAINTENANCE IN AMENDED FORM";2006-06-08
95927720;2007-10-11;"T1763/07-3205";"opposition";2007-12-17;9999-12-31;"REVOCATION OF THE PATENT";2010-07-06
