id;ipc_text;change_date;bulletin_year;bulletin_nr
10830023;"F02C7/00, F01D5/18, F01D5/28, F01D9/02, F01D25/00, F04D29/38, F04D29/54, F04D29/02, F04D29/32, B29C70/30, B29D99/00";2015-10-23;2015;48
10829375;"F03B13/14, F03B13/26, F03B15/00";2012-08-17;2012;38
10829375;"F03B13/14, F03B13/26, F03B15/00, F03B13/18";2017-05-26;2017;26
5746736;"F16K31/12, H02J1/10, H02J3/38, F16K11/07, F16K31/04, F16K31/53, H02J3/46";2007-02-02;2007;10
5746736;"F16K31/12, H02J1/10, H02J3/38, F16K11/07, F16K31/04, F16K31/53, H02J3/46, E21B33/035, H02J1/00, H02J1/06, H02M7/04, H02H3/36, H02M7/217, H02J13/00, H02P5/68, H02M1/00, H02J3/36, F16K37/00";2015-11-20;2015;52
10830907;"G06F19/00, G05B23/02, F03D7/04";2017-06-30;2017;31
10832797;"D06F89/02";2012-09-07;2012;41
10834651;"B23K15/00, B23K15/06, B23K26/20";2012-09-07;2012;41
84400559;"H02G13/00";1984-08-31;1984;44
990911;"B65B31/00";2002-07-26;2002;37
990911;"B65B31/00, F25B17/12, C01B3/02";2005-06-24;2005;32
84401165;"G02B6/24";1984-11-16;1985;3
1119082;"F03D11/02, F03D3/06, F16H37/04";2002-01-18;2002;10
1119082;"F03D15/00, F16H1/22";2016-12-23;2017;4
84305923;"B29C53/60, B65H81/00";1985-03-09;1985;19
1102307;"C08K3/22, C08G18/48";2001-07-06;2001;34
1114080;"F16H37/04";2001-11-23;2002;2
14786611;"H02K5/15, F16J15/447, H02K5/124, H02K5/173";2016-07-29;2016;35
14786611;"H02K5/124, H02K5/15, H02K5/173, F16C33/80, F16C19/06, F16C33/30, F16C33/32, F16J15/447, F16J15/453, F16C33/62";2017-09-29;2017;44
10836377;"F02D41/20, F02D41/04, F02D41/14, F02M51/02";2012-09-14;2012;42
10836377;"B09B3/00, F03G7/00, F24J2/00, C01B31/02, C01B3/00, C12P3/00, F02D35/02, F02D37/02";2014-06-20;2014;30
14786792;"H02J3/28, F03D9/00, G01R19/165, H02K19/34, H02K21/48, H02M1/12, H02H7/12, H02H7/26, H02J3/38, H02M7/49";2016-07-22;2016;34
10827783;"F03G7/06";2012-08-17;2012;38
10831713;"F03D5/00, F03D11/04";2012-08-24;2012;39
10835514;"E02B17/02, E02D27/52";2012-09-14;2012;42
1103233;"G01D5/353";2001-06-29;2001;33
1105573;"F16H57/02";2001-09-14;2001;44
1113461;"C01G45/00";2001-11-23;2002;2
84309166;"F16H49/00";1985-09-20;1985;47
84900411;"F03D1/04";1985-09-07;1985;45
990016;"F03D1/06";2002-08-16;2002;40
5747332;"G01N21/47, G03H1/02";2007-01-19;2007;8
10816792;"H02K1/12";2012-06-08;2012;28
10833789;"H02P9/04, F03D9/00";2012-09-07;2012;41
14800479;"F03D3/06, F03D9/25, H02K21/26, F03D15/20";2017-02-10;2017;11
14802092;"F03B17/06";2016-07-22;2016;34
10833221;"H02J7/35, H01M10/44";2012-08-31;2012;40
10838435;"E02B9/08, F03B13/22, E02B17/00, F03B13/24";2012-09-28;2012;44
14804759;"A47L9/00, H02K5/24";2016-03-11;2016;15
14804759;"A47L9/22, H02K5/24";2016-04-29;2016;22
84108151;"B01D53/26";1985-01-26;1985;13
10828152;"H02K1/18, F03D1/06, F03D7/04, H02K1/28, F03D7/02, F16C19/50, F16C29/06, H02K41/02, H02K1/14, H02K5/173, H02K7/14, H02K7/18, F03D80/70";2017-05-12;2017;24
14789156;"F03D13/00";2016-08-05;2016;36
14789156;"F03D13/00, F03D80/80";2017-07-28;2017;35
14790360;"F03D5/00, B64C31/06, F03D9/00";2016-08-05;2016;36
1106700;"F16H15/38";2001-08-10;2001;39
1118275;"F03B17/06, F03B13/18";2002-12-27;2003;6
1127056;"A61K35/78, A61K31/35, A61K31/70, A61P13/00";2002-12-28;2003;7
1126249;"F03D11/00, F16C32/04";2002-04-05;2002;21
6777052;"H02K26/00, H02K16/04, F01L9/04";2008-04-18;2008;21
10835323;"F03D3/06, F01D5/14";2012-09-14;2012;42
14790359;"F03D5/00, F03D7/00";2016-06-17;2016;29
14793478;"H02K7/08, B60K7/00";2016-07-08;2016;32
84109853;"F16K11/07";1985-03-01;1985;18
84810016;"B60R13/02";1984-07-07;1984;36
84810016;"B60R13/00, G09F7/22, B60R13/02";1985-09-12;1985;46
14786794;"F03D13/00";2016-07-22;2016;34
14786794;"F03D13/00, F03D80/30, F03D1/06";2018-07-13;2018;33
14787748;"F01D25/24, F01D25/12, F02C7/12, F04D29/52, F04D29/58";2015-12-18;2016;3
10839687;"F03D1/00, F03D11/02";2012-09-28;2012;44
10839687;"F03D1/00, F03D11/02, F03D7/02";2014-05-09;2014;24
5727352;"F03D11/04, F03D3/06, F03D9/00, F03D11/02, H02K7/18";2006-11-10;2006;50
5727551;"B29B15/08, B29C43/20, // B29K101/00, B29K105/08, B29L9/00, B29L31/30";2006-11-10;2006;50
10817626;"F01B23/10, F01B11/00, F03G7/00, F03G7/08";2012-06-01;2012;27
10817626;"F01B23/10, F01B11/00, F03G7/00, F03G7/08, C25B1/04, C25B1/02, C25B13/02, C25B1/00, C25B1/26, C25B9/06, F03B13/18, F24J2/07, F24J2/12, F28D7/10";2015-01-30;2015;10
10836376;"F02M57/06, F02M61/16, F02M61/18, F02M51/06, F02M21/02, F02D41/38, F02M57/00, F02P13/00, F02P19/02, F02D35/02, F02D37/02, F02B75/12, F02P5/04, F02D19/06, F02D41/14";2016-02-19;2016;12
1104635;"F03D7/02, F01D7/00";2001-07-13;2001;35
6774908;"C02F1/14";2008-05-09;2008;24
6788475;"F03D9/00, H02P9/04";2008-03-28;2008;18
10833663;"F03D11/02, F03D3/00";2012-08-31;2012;40
10833663;"F03D11/02, F03D3/00, F03D11/04";2014-05-02;2014;23
10825716;"F03B17/06, F03B13/26, F03B3/12";2012-07-27;2012;35
10825716;"F03B13/14";2013-03-15;2013;16
10840941;"G01M13/04, G01H17/00";2012-10-12;2012;46
6766353;"F03D11/04, F03D5/00";2008-02-15;2008;12
6766353;"F03D13/20, B63B35/79, B63H9/06, F03D5/00";2017-02-03;2017;10
6778458;"F03D3/00";2008-12-05;2009;2
6794185;"F03D7/06, F03D3/04";2008-03-07;2008;15
11184768;"H02K1/24";2012-04-17;2012;16
6772194;"F03D9/02";2008-02-08;2008;11
6772194;"F03D1/04, F03D1/02, F03D11/04";2012-11-16;2012;51
6774827;"F03B13/18, F04B17/00";2008-06-20;2008;30
84100038;"F03D3/06";1984-06-16;1984;33
84830174;"F03D3/04, F03D9/02, F03D1/04";1985-11-16;1986;3
1115171;"F03D1/06, F01D25/36, F03D11/04";2001-11-16;2002;1
10840941;"G01M13/04, G01H17/00, F03D11/00, G01H1/00";2014-11-14;2014;51
14790129;"B29C53/68, B29C53/80";2016-04-15;2016;20
10839648;"F03D3/06, F03D11/00";2012-09-28;2012;44
10839648;"F03D3/06";2016-05-13;2016;24
14790978;"B65D71/50";2016-07-29;2016;35
10833789;"H02P9/04, F03D9/00, H02K7/18";2015-06-12;2015;29
14793437;"F03D1/06";2016-06-24;2016;30
14802148;"H02M1/32";2016-07-15;2016;33
10825849;"F03B13/10, E02B9/00, E02B9/08";2012-08-03;2012;36
10825849;"F03B13/10, E02B9/00, E02B9/08, F03B11/06, F03B17/06, F03B13/26";2013-04-12;2013;20
10829815;"B25F5/00, B25D11/06, B25D17/10";2012-08-17;2012;38
10831217;"F01K25/00, H02J1/00";2012-08-24;2012;39
14806192;"H02J3/00, G01R19/25";2016-08-12;2016;37
14808111;"C01B31/02";2016-03-11;2016;15
14810755;"F03B17/06, F03B15/00, F16H1/46";2016-03-18;2016;16
10839204;"F03D11/00, F03D1/06";2012-09-28;2012;44
14789262;"F16N7/40";2016-09-02;2016;40
14792487;"B29C33/30, B29C70/44, B29C33/00, B29C70/54";2017-08-04;2017;36
14799336;"F03D1/06";2016-08-12;2016;37
14807488;"B63B35/44, B63B35/34, B65D88/78";2016-03-11;2016;15
14811266;"B60T13/52";2016-03-18;2016;16
14798730;"F04B17/02, F03D9/10, F03B13/06, F15B1/02";2016-09-16;2016;42
14798944;"E02D13/00, E02D27/52";2016-07-01;2016;31
1127056;"A61K36/52, A61K31/35, A61K31/70, A61P13/00";2006-01-20;2006;10
6781109;"B60K7/00, F16C19/18, F16C33/60, F16H1/36, F16H1/46, H02K7/08, H02K7/116";2008-02-29;2008;14
