id;bulletin_year;bulletin_nr;publn_auth;publn_nr;publn_kind;publn_date;publn_lg
8784435;2016;42;"EP";"2198154";"B1";2016-10-19;"en"
11815689;2013;37;"EP";"2635912";"A2";2013-09-11;"de"
11817458;2013;19;"WO";"2013065171";"A1";2013-05-10;"ja"
81108462;1985;49;"EP";"0051194";"B1";1985-12-04;"de"
81303419;1982;5;"EP";"0045202";"A1";1982-02-03;"en"
8774474;2011;9;"EP";"2288857";"A1";2011-03-02;"de"
8774474;2013;3;"EP";"2288857";"B1";2013-01-16;"de"
8787290;2010;3;"WO";"2010006659";"A1";2010-01-21;"en"
8787290;2011;16;"EP";"2310595";"A1";2011-04-20;"en"
11817193;2013;25;"EP";"2604856";"A1";2013-06-19;"en"
11817193;2016;17;"EP";"2604856";"B1";2016-04-27;"en"
1907256;2002;2;"WO";"0202169";"A1";2002-01-10;"en"
1907256;2003;21;"EP";"1311315";"A1";2003-05-21;"en"
8775912;2009;3;"WO";"2009007728";"A2";2009-01-15;"en"
8775912;2010;11;"EP";"2162659";"A2";2010-03-17;"en"
5711593;2006;43;"EP";"1714028";"A2";2006-10-25;"en"
5711925;2005;32;"WO";"2005073514";"A1";2005-08-11;"en"
8793842;2009;9;"WO";"2009025549";"A1";2009-02-26;"en"
8793842;2010;17;"EP";"2179172";"A1";2010-04-28;"en"
11814760;2017;19;"EP";"2602307";"B1";2017-05-10;"en"
11814909;2012;6;"WO";"2012018393";"A2";2012-02-09;"en"
8776007;2010;19;"EP";"2183480";"A2";2010-05-12;"en"
8776075;2009;12;"WO";"2009034291";"A2";2009-03-19;"en"
11814909;2013;24;"EP";"2601405";"A2";2013-06-12;"en"
11815443;2012;27;"WO";"2012089544";"A1";2012-07-05;"en"
1907256;2009;17;"EP";"1311315";"B1";2009-04-22;"en"
5705919;2005;32;"WO";"2005072213";"A2";2005-08-11;"en"
8785828;2009;13;"WO";"2009036895";"A2";2009-03-26;"de"
8785828;2010;22;"EP";"2191551";"A2";2010-06-02;"de"
8793944;2009;5;"WO";"2009014459";"A1";2009-01-29;"en"
8793944;2010;19;"EP";"2183842";"A1";2010-05-12;"en"
8785306;2010;20;"EP";"2185814";"A1";2010-05-19;"de"
8785306;2016;46;"EP";"2185814";"B1";2016-11-16;"de"
8778814;2009;4;"WO";"2009011539";"A2";2009-01-22;"en"
8778814;2010;16;"EP";"2176900";"A2";2010-04-21;"en"
5710123;2006;43;"EP";"1714809";"A1";2006-10-25;"en"
5710123;2009;18;"EP";"1714809";"B1";2009-04-29;"en"
11820855;2012;47;"WO";"2012158131";"A1";2012-11-22;"en"
11820855;2014;14;"EP";"2712400";"A1";2014-04-02;"en"
8792268;2010;6;"WO";"2010016125";"A1";2010-02-11;"ja"
8792268;2011;15;"EP";"2309119";"A1";2011-04-13;"en"
11815443;2013;45;"EP";"2659133";"A1";2013-11-06;"en"
11830636;2012;15;"WO";"2012046704";"A1";2012-04-12;"ja"
14828552;2015;23;"WO";"2015083189";"A1";2015-06-11;"en"
14828552;2016;41;"EP";"3077285";"A1";2016-10-12;"en"
1908023;2002;44;"EP";"1252442";"A1";2002-10-30;"en"
1908023;2004;16;"EP";"1252442";"B1";2004-04-14;"en"
8778814;2014;13;"EP";"2176900";"B1";2014-03-26;"en"
8781286;2009;3;"WO";"2009009375";"A1";2009-01-15;"en"
5705919;2006;45;"EP";"1718871";"A2";2006-11-08;"en"
5714509;2006;12;"WO";"2006029496";"A1";2006-03-23;"en"
11817458;2014;37;"EP";"2775141";"A1";2014-09-10;"en"
11817458;2017;22;"EP";"2775141";"B1";2017-05-31;"en"
93402772;1994;22;"EP";"0599691";"A1";1994-06-01;"fr"
93402772;1996;44;"EP";"0599691";"B1";1996-10-30;"fr"
8776075;2010;21;"EP";"2188522";"A2";2010-05-26;"en"
8776075;2011;21;"EP";"2188522";"B1";2011-05-25;"en"
14837984;2015;8;"WO";"2015025669";"A1";2015-02-26;"ja"
14837984;2016;26;"EP";"3038240";"A1";2016-06-29;"en"
11832841;2013;34;"EP";"2627931";"A1";2013-08-21;"en"
11832841;2016;20;"EP";"2627931";"B1";2016-05-18;"en"
11825664;2012;12;"WO";"2012036900";"A2";2012-03-22;"en"
11825664;2013;30;"EP";"2616669";"A2";2013-07-24;"en"
8792462;2009;22;"WO";"2009066491";"A1";2009-05-28;"ja"
8792462;2010;15;"EP";"2175132";"A1";2010-04-14;"en"
11830636;2013;33;"EP";"2626983";"A1";2013-08-14;"en"
11833227;2012;16;"WO";"2012051141";"A2";2012-04-19;"en"
1909534;2001;32;"WO";"0157397";"A1";2001-08-09;"de"
1909534;2002;46;"EP";"1255932";"A1";2002-11-13;"de"
81401532;1982;18;"EP";"0051005";"A1";1982-05-05;"fr"
81401532;1985;25;"EP";"0051005";"B1";1985-06-19;"fr"
1913554;2002;45;"EP";"1254317";"A1";2002-11-06;"de"
1913554;2004;48;"EP";"1254317";"B1";2004-11-24;"de"
5711925;2006;42;"EP";"1711687";"A1";2006-10-18;"en"
5715102;2005;38;"WO";"2005088121";"A2";2005-09-22;"en"
11814169;2012;6;"WO";"2012017302";"A1";2012-02-09;"en"
11814169;2013;24;"EP";"2601732";"A1";2013-06-12;"en"
11833227;2013;34;"EP";"2627896";"A2";2013-08-21;"en"
11833227;2016;18;"EP";"2627896";"B1";2016-05-04;"en"
11833628;2012;17;"WO";"2012051656";"A1";2012-04-26;"en"
11833628;2013;35;"EP";"2630366";"A1";2013-08-28;"en"
8784959;2010;15;"EP";"2174003";"A2";2010-04-14;"de"
11815731;2012;22;"WO";"2012070937";"A1";2012-05-31;"en"
14840869;2015;9;"WO";"2015031434";"A1";2015-03-05;"en"
14840869;2016;27;"EP";"3038906";"A1";2016-07-06;"en"
8794771;2009;6;"WO";"2009017686";"A2";2009-02-05;"en"
8794771;2011;1;"EP";"2268918";"A2";2011-01-05;"en"
8786984;2010;17;"EP";"2179337";"A1";2010-04-28;"en"
8786984;2011;26;"EP";"2179337";"B1";2011-06-29;"en"
11826008;2012;12;"WO";"2012037444";"A2";2012-03-22;"en"
11826008;2013;30;"EP";"2617207";"A2";2013-07-24;"en"
101757;2000;32;"EP";"1026932";"A2";2000-08-09;"de"
101757;2000;46;"EP";"1026932";"A3";2000-11-15;"  "
5720483;2007;47;"EP";"1724478";"B1";2007-11-21;"en"
8794057;2009;11;"WO";"2009031927";"A1";2009-03-12;"ru"
1909534;2005;47;"EP";"1255932";"B1";2005-11-23;"de"
1909552;2001;33;"WO";"0159863";"A2";2001-08-16;"de"
5707505;2005;52;"EP";"1608838";"A1";2005-12-28;"de"
5707505;2006;43;"EP";"1608838";"B1";2006-10-25;"de"
11831162;2012;15;"WO";"2012047460";"A1";2012-04-12;"en"
11831162;2013;33;"EP";"2625532";"A1";2013-08-14;"en"
11813947;2012;6;"WO";"2012016283";"A1";2012-02-09;"en"
11813947;2013;24;"EP";"2601407";"A1";2013-06-12;"en"
5715935;2005;40;"WO";"2005093219";"A1";2005-10-06;"de"
5715935;2006;48;"EP";"1725741";"A1";2006-11-29;"de"
1900488;2001;28;"WO";"0150113";"A1";2001-07-12;"en"
1900488;2002;40;"EP";"1244902";"A1";2002-10-02;"en"
5719166;2006;46;"EP";"1721719";"A1";2006-11-15;"en"
5719166;2014;40;"EP";"1721719";"B1";2014-10-01;"en"
5716776;2005;35;"WO";"2005080195";"A1";2005-09-01;"de"
5716776;2006;45;"EP";"1718524";"A1";2006-11-08;"de"
8783576;2010;5;"WO";"2010012121";"A1";2010-02-04;"zh"
8783576;2011;20;"EP";"2322520";"A1";2011-05-18;"en"
8795724;2009;11;"WO";"2009032221";"A1";2009-03-12;"en"
8795724;2010;24;"EP";"2195139";"A1";2010-06-16;"en"
1915792;2004;1;"EP";"1375911";"A1";2004-01-02;"en"
5705941;2005;32;"WO";"2005073188";"A1";2005-08-11;"en"
8794057;2010;21;"EP";"2189653";"A1";2010-05-26;"en"
11815438;2012;26;"WO";"2012084258";"A1";2012-06-28;"de"
8787074;2009;9;"WO";"2009024489";"A1";2009-02-26;"de"
8787074;2010;17;"EP";"2179498";"A1";2010-04-28;"de"
11833628;2018;28;"EP";"2630366";"B1";2018-07-11;"en"
14833648;2015;6;"WO";"2015021325";"A1";2015-02-12;"en"
101757;2005;13;"EP";"1026932";"B1";2005-03-30;"de"
114832;2001;3;"EP";"1069257";"A2";2001-01-17;"de"
5719268;2005;35;"WO";"2005080189";"A1";2005-09-01;"en"
5719268;2006;45;"EP";"1719697";"A1";2006-11-08;"en"
14833648;2016;24;"EP";"3031215";"A1";2016-06-15;"en"
81102524;1981;42;"EP";"0037987";"A2";1981-10-21;"de"
14851380;2015;14;"WO";"2015049895";"A1";2015-04-09;"ja"
14851380;2016;18;"EP";"3015721";"A1";2016-05-04;"en"
8776267;2010;23;"EP";"2193270";"A2";2010-06-09;"en"
8785640;2010;8;"WO";"2010020263";"A2";2010-02-25;"en"
14843035;2015;10;"WO";"2015034612";"A1";2015-03-12;"en"
14843035;2016;29;"EP";"3044419";"A1";2016-07-20;"en"
11815731;2013;40;"EP";"2643525";"A1";2013-10-02;"en"
11833681;2012;17;"WO";"2012051717";"A1";2012-04-26;"en"
11837619;2012;19;"WO";"2012059625";"A1";2012-05-10;"en"
11837619;2013;37;"EP";"2635507";"A1";2013-09-11;"en"
14851565;2015;15;"WO";"2015053832";"A2";2015-04-16;"en"
14851565;2016;20;"EP";"3019705";"A2";2016-05-18;"en"
14847762;2015;13;"WO";"2015047755";"A1";2015-04-02;"en"
14847762;2016;31;"EP";"3049628";"A1";2016-08-03;"en"
5705941;2006;41;"EP";"1708995";"A1";2006-10-11;"en"
5705941;2013;9;"EP";"1708995";"B1";2013-02-27;"en"
8781814;2009;4;"WO";"2009012231";"A1";2009-01-22;"en"
8781814;2010;13;"EP";"2167868";"A1";2010-03-31;"en"
11834891;2012;17;"WO";"2012054310";"A2";2012-04-26;"en"
11834891;2013;35;"EP";"2630427";"A2";2013-08-28;"en"
8792464;2010;7;"WO";"2010018631";"A1";2010-02-18;"ja"
8792464;2011;16;"EP";"2312153";"A1";2011-04-20;"en"
8785640;2011;22;"EP";"2326833";"A2";2011-06-01;"en"
8785640;2014;27;"EP";"2326833";"B1";2014-07-02;"en"
14838836;2015;23;"WO";"2015083142";"A1";2015-06-11;"en"
14838836;2017;7;"EP";"3129647";"A1";2017-02-15;"en"
5715935;2014;39;"EP";"1725741";"B1";2014-09-24;"de"
5716935;2005;39;"WO";"2005091490";"A1";2005-09-29;"de"
5714509;2007;22;"EP";"1789676";"A1";2007-05-30;"en"
8774663;2010;1;"WO";"2010000316";"A1";2010-01-07;"de"
5719268;2014;21;"EP";"1719697";"B1";2014-05-21;"en"
