id;set_seq_nr;bulletin_year;bulletin_nr;type;seq_nr;country
13167112;2;2014;9;"A";2;"MK"
1108887;7;2006;12;"A";2;"AT"
9744485;3;0;0;"A";2;"IT"
6126121;2;2008;38;"A";1;"GB"
9730599;4;2017;29;"A";2;"CH"
9764098;3;2016;35;"A";2;"AT"
12152566;2;0;0;"A";2;"BG"
98913566;2;2001;32;"A";1;"GB"
9764098;4;0;0;"A";2;"NO"
8870460;1;2010;39;"A";2;"CH"
7076110;4;2012;13;"A";1;"MC"
11726665;2;2013;40;"A";1;"CH"
9744485;3;0;0;"A";2;"LT"
15178362;1;2016;5;"A";1;"FR"
11726665;1;2013;7;"A";1;"IT"
9730599;3;2016;35;"A";2;"CZ"
1108887;7;2006;12;"A";2;"ES"
7076110;4;2012;13;"A";1;"TR"
98913566;1;1999;49;"A";1;"IE"
4292801;1;2006;22;"A";3;"NL"
9744485;3;0;0;"A";2;"EE"
1108887;8;2006;29;"A";2;"TR"
9744485;3;0;0;"A";2;"LV"
9744485;2;2014;9;"A";2;"SM"
9730599;3;2016;35;"A";2;"IT"
11726665;2;2013;40;"A";1;"FR"
10814644;3;2016;18;"A";3;"SK"
89910654;3;0;0;"A";3;"GB"
94810654;4;1999;9;"A";1;"FR"
98913566;1;1999;49;"A";1;"LU"
7076111;2;2010;35;"A";1;"GB"
9744485;2;2014;9;"A";2;"IT"
8075047;3;2010;49;"A";1;"MT"
4292801;3;2017;4;"A";3;"NL"
1610082;2;0;0;"A";1;"DK"
9744485;2;2014;9;"A";2;"IS"
11726665;1;2013;7;"A";1;"FR"
10814644;3;2016;18;"A";3;"RS"
11726665;1;2013;7;"A";1;"FI"
4292801;3;2017;4;"A";2;"AT"
98908040;1;1999;47;"A";2;"AT"
81890064;1;1981;42;"A";1;"FR"
6126121;1;2007;27;"A";1;"GB"
16156238;1;2017;34;"A";2;"SK"
1610082;1;2002;6;"A";2;"CY"
98913566;1;1999;49;"A";1;"GR"
10814644;3;2016;18;"A";4;"GR"
6425372;2;2008;19;"A";1;"HU"
8870460;1;2010;39;"A";2;"RO"
9764098;2;2014;10;"A";2;"NO"
6425372;2;2008;19;"A";1;"IS"
98908040;3;0;0;"A";1;"NL"
8075047;5;2011;18;"A";1;"IS"
8075047;5;2011;18;"A";1;"LV"
79301012;1;1980;8;"A";4;"SE"
6125461;3;0;0;"A";1;"GB"
1610082;1;2002;6;"A";3;"TR"
16156238;1;2017;34;"A";2;"TR"
12152566;1;2013;31;"A";2;"LI"
8870460;3;2014;9;"A";2;"LV"
4292801;1;2006;22;"A";3;"BE"
10814644;3;2016;18;"A";3;"IS"
8075047;3;2010;49;"A";1;"SK"
7076110;4;2012;13;"A";1;"LI"
16156238;1;2017;34;"A";2;"CZ"
6425372;4;2008;48;"A";2;"IT"
8075047;4;2011;1;"A";1;"MT"
8870460;2;2013;39;"A";2;"MC"
7076134;4;2014;28;"A";1;"LI"
9744485;2;2014;9;"A";2;"CZ"
4292801;3;2017;4;"A";2;"DK"
7076111;2;2010;35;"A";1;"LU"
4292801;1;2006;22;"A";3;"GB"
9730599;4;2017;29;"A";2;"MC"
11726665;2;2013;40;"A";1;"BG"
8870460;2;2013;39;"A";2;"IS"
4292801;1;2006;22;"A";3;"PT"
98913566;3;0;0;"A";1;"FI"
4292801;1;2006;22;"A";3;"IS"
1610082;2;0;0;"A";2;"GB"
8075047;3;2010;49;"A";1;"IT"
