id;bulletin_year;bulletin_nr;licensee_seq_nr;licensee_country
5766122;2010;52;"01";"EE"
9009058;2014;13;"01";"PL"
9290794;2013;40;"01";"NL"
9735221;2013;25;"01";"CH"
10788117;2013;25;"01";"AL"
4727188;2008;2;"01  00";"SE"
8715664;2011;23;"01  01";"HU"
5000275;2008;34;"01";"PL"
11703242;2013;25;"01";"DK"
11710901;2013;17;"01  01";"SM"
13892077;2016;17;"01";"IS"
8715664;2014;30;"02  01";"IE"
5000115;2008;34;"01";"PL"
8715664;2011;23;"01  01";"MT"
10788117;2013;25;"01";"SI"
11703242;2013;25;"01";"FI"
4447286;2006;32;"01  00";"BG"
3405133;2005;3;"01";"DK"
9009059;2014;13;"01";"FR"
11290434;2013;40;"01";"IE"
9785200;2013;25;"01";"RO"
9009059;2014;13;"01";"SM"
9725403;2013;25;"01";"RO"
4447286;2006;32;"01  00";"SK"
5000275;2008;34;"01";"CY"
14837373;2018;17;"01";"CY"
9725403;2013;25;"01";"ES"
4727188;2008;2;"01  00";"BG"
11719360;2013;25;"01";"MT"
3405133;2005;3;"01";"ES"
4727186;2008;2;"01  00";"PT"
10742603;2013;29;"01";"SI"
9735221;2013;25;"01";"MC"
5773954;2008;34;"01";"IS"
4793855;2009;33;"01";"FI"
9735221;2013;25;"01";"MT"
9737113;2013;25;"01";"BE"
5773954;2008;34;"01";"DE"
9785200;2013;25;"01";"NL"
11719360;2013;25;"01";"IT"
10742603;2013;29;"01";"DK"
6076187;2009;36;"01";"GR"
11719360;2013;25;"01";"HU"
11719360;2013;25;"01";"NO"
9725403;2013;25;"01";"SK"
11290434;2013;40;"01";"LI"
9737113;2013;25;"01";"MK"
8715664;2014;30;"03  01";"SK"
10742603;2013;29;"01";"RO"
8701733;2012;6;"01";"HU"
11804640;2015;24;"01  01";"EE"
9009058;2014;13;"01";"LV"
4447286;2006;32;"01  00";"BE"
9735221;2013;25;"01";"EE"
4727186;2008;2;"01  00";"CY"
9735221;2013;25;"01";"LV"
10742603;2014;9;"01  01";"DE"
11703242;2013;25;"01";"LU"
5796256;2010;45;"01  01";"FR"
9009058;2014;13;"01";"SK"
9785200;2013;25;"01";"GB"
9735221;2013;25;"01";"CZ"
8776077;2013;25;"01";"FI"
15794271;2018;21;"01  00";"IE"
9735221;2013;25;"01";"GR"
9785200;2013;25;"01";"DK"
4793855;2009;33;"01";"EE"
5000275;2008;34;"01";"GB"
1111524;2002;37;"01  00";"CH"
14837373;2018;17;"01";"AL"
4447286;2006;32;"01  00";"PT"
13892077;2016;17;"01";"NO"
4447286;2006;32;"01  00";"GR"
11703242;2013;25;"01";"LV"
10742603;2014;9;"01  01";"SE"
4727187;2008;2;"01  00";"ES"
8701733;2012;6;"01";"MT"
